geneid	genename	Subtype_1	Subtype_2	Subtype_3	Subtype_4	Subtype_5	Subtype_6
ENSG00000005249	PRKAR2B	4.10264717416673	3.79518774902778	3.67502975352828	7.57576901453919	3.6636656243489	3.84870946199736
ENSG00000007968	E2F2	3.30890921082534	3.61391482261555	3.04622117458089	2.30170921072465	3.20664587466255	2.91873927212769
ENSG00000009709	PAX7	2.39936973590204	2.28638993265923	4.8627789705157	2.30450734177057	2.07159476402917	4.09197851737411
ENSG00000010030	ETV7	3.90311861648607	4.56783107116118	3.30991014889072	3.20491795207763	3.66019641858529	3.32324546095548
ENSG00000014138	POLA2	5.09988170408484	5.83585369709581	5.45931490924953	6.42864818681063	4.81914424176956	5.05153406166399
ENSG00000019169	MARCO	4.15525590908699	5.45071417628519	3.38238102556656	3.0474769664247	4.63611981122152	3.37697666510105
ENSG00000019991	HGF	4.93917800738061	5.05153064867351	3.61156285511768	3.12730368200326	5.56591748830787	3.95612789187849
ENSG00000024526	DEPDC1	2.84562183468739	2.98394252507707	2.82694500285402	2.37887879467011	2.63354221983518	2.26902969797644
ENSG00000026751	SLAMF7	2.73684083966423	3.03646612474356	2.05498723672602	2.57888948793333	2.98911845543565	2.23777752913499
ENSG00000029559	IBSP	3.47270694494017	3.46850697814061	3.74483335162799	2.0858232456514	9.88437166241964	3.17642961566626
ENSG00000034971	MYOC	4.14431163070328	3.39838858832382	3.08755322615209	3.28898677745766	2.53867595462127	2.80073446370284
ENSG00000036672	USP2	3.83921784622871	3.92289122830687	3.82711629901024	3.39729306223727	3.56108661489989	4.33818371808128
ENSG00000037897	METTL1	4.58915781202479	4.32746761984514	4.11898874850473	3.95935111799732	4.04252234241179	4.402230045326
ENSG00000040487	SLC66A1	3.87844979942987	4.38379754293678	3.69646330725415	3.61851052852885	3.99660674662209	4.05391508954739
ENSG00000054179	ENTPD2	3.91093525423315	3.92127939264261	4.30441312136358	4.38130831602552	3.33950860243532	3.56644024045118
ENSG00000055955	ITIH4	4.73612369156614	4.20050102480656	4.17062384448895	4.42523030055143	4.51282456692527	4.19253945465028
ENSG00000055957	ITIH1	3.30824636883902	2.63424072305053	3.0596863885119	2.54056104564443	2.49523154127063	2.42325616768441
ENSG00000058866	DGKG	4.08435724049542	2.60351483475085	2.57259764245779	3.50417077901777	2.64812712677646	2.47714829360904
ENSG00000063438	AHRR	3.22251527568254	3.11339822940508	3.5433743455692	3.20707565278641	2.71537428154262	4.39955858683513
ENSG00000064195	DLX3	2.23481487574921	2.5679522916944	3.22741139752386	2.13202300876195	4.37024658253785	2.44247841683436
ENSG00000065183	WDR3	4.96027115663943	4.47084411391257	4.9016611204073	5.66729519181633	5.07201549828292	4.60322856895114
ENSG00000066468	FGFR2	7.24404967495211	5.22068462120978	6.12830090243072	8.08045839548064	7.26848891985602	7.82309486073974
ENSG00000072195	SPEG	8.03644952804408	5.7631589322696	6.41575847974961	6.5191411612945	5.79548936308818	7.44101603103632
ENSG00000074527	NTN4	3.77198494670384	4.59787803030394	3.22310896617538	3.41866201925645	4.19362885985396	3.77910227091256
ENSG00000075407	ZNF37A	3.6575320794959	3.6598586611687	3.56547526328205	3.85311283758917	3.66710954777855	3.61004185443183
ENSG00000076356	PLXNA2	6.15048742671196	5.85887065978843	5.02353851358223	6.78728681999109	6.69854960640623	6.90031789723704
ENSG00000077782	FGFR1	10.0333558006962	9.86188314407371	9.69571698037567	10.832901386572	10.8288744290226	10.548693552533
ENSG00000077943	ITGA8	5.0990492269127	2.67740674388286	3.06371761521979	3.31314911815729	3.35295730812852	4.11990515797748
ENSG00000078081	LAMP3	2.90561151081845	3.15590988554022	2.51402763252709	2.47781933804015	3.08012787202659	2.48957595183755
ENSG00000079101	CLUL1	4.14745536450899	3.77695342738798	5.07371954822788	3.84029908702751	3.75858152035615	4.13811021313827
ENSG00000082397	EPB41L3	7.20170822857389	7.98913027113383	6.24883971935515	5.99891211981841	7.14357870586053	7.05134562281824
ENSG00000082482	KCNK2	3.02111797512561	3.25246000128963	3.00210339649589	3.3808034087662	4.03114028901329	3.45688154277441
ENSG00000084710	EFR3B	3.5075031224449	3.33080671987521	3.60124254496099	4.94778798952181	3.29203479908065	3.78402758829424
ENSG00000085563	ABCB1	3.30948533973205	2.91624369942059	2.74002890735019	5.73565341977403	2.73898989682463	2.59985155187656
ENSG00000085741	WNT11	2.7061013365627	2.78340282644431	2.4744079780773	2.36534763569496	2.47149382780367	2.96959637697303
ENSG00000087495	PHACTR3	4.19040352500384	3.95169008125785	4.27510873356126	4.32821260453592	3.80280991013662	4.64940504665128
ENSG00000088386	SLC15A1	2.34766767641051	2.60377844826097	2.85215499225389	2.42163076807807	2.46925027933994	5.01222997151183
ENSG00000090659	CD209	3.6791713382926	4.54493676487716	3.05592568981025	3.11232204553839	4.03441016619828	3.20548410469448
ENSG00000092820	EZR	8.58812867621567	8.88222233904807	8.39520794316285	9.75070085937753	9.10341917050951	7.88249349859082
ENSG00000095713	CRTAC1	3.7752708520635	3.72478880333113	3.10850810871494	2.68175728710169	4.86950966575664	3.46139345822474
ENSG00000099139	PCSK5	5.543748448318	5.53079719223289	4.66779672303257	4.8390559157155	4.81719531176588	6.11212204724656
ENSG00000100346	CACNA1I	2.80323551196817	2.58379300263775	3.3237500539616	2.79890261984537	2.23896076971866	3.5078799888421
ENSG00000100979	PLTP	6.31456536551336	7.65653583522034	5.78136921695925	5.4405901468274	7.02255932291955	6.31624468832177
ENSG00000100985	MMP9	4.8572460731897	5.42104774288693	5.39725274497114	3.79885826137377	10.783951175488	4.30774143315095
ENSG00000101194	SLC17A9	3.22137300449904	3.55245172103435	3.1387924686059	2.7154576668297	4.88589667532719	3.53066864270624
ENSG00000101230	ISM1	5.25205409242944	5.08722878714709	5.25506454437897	4.76433872616769	5.45413030955175	6.14277487479552
ENSG00000101680	LAMA1	4.71063506103743	4.74096791901889	4.13285206804271	2.53833999795689	3.30951874960193	4.83172730752254
ENSG00000104267	CA2	3.34209919296085	3.02664151953175	3.03258158327268	7.66175532533997	6.35125950950659	2.82353466296615
ENSG00000104368	PLAT	6.54797967841531	6.58556707097095	6.29061891008099	9.33539499928895	6.02969728492763	6.13736325340417
ENSG00000105173	CCNE1	3.91352931020572	3.38339610163563	2.92250342305065	3.65254235707307	3.57095364775321	3.25102043864731
ENSG00000105825	TFPI2	2.70401963402519	2.85472054925208	2.9847767075301	2.17236297538647	2.50955376031984	2.71104897311231
ENSG00000105855	ITGB8	4.8974834389289	4.85037746655469	3.87774194061578	3.02334189021239	4.89284811128864	3.79121330284674
ENSG00000106031	HOXA13	2.75175920522972	2.72404145225923	2.63794304051899	2.22737058518772	2.72217510030945	2.6493488447447
ENSG00000106066	CPVL	5.02070666300954	5.35058377855689	5.10749463064407	5.24175280543702	5.20635342227752	4.19065150651566
ENSG00000106541	AGR2	2.69381566497894	2.61870789269428	3.44585148821564	3.00437489248675	2.54235712256415	3.19880723537558
ENSG00000107249	GLIS3	4.75514251915844	4.97119969506342	3.63718106005447	4.85868579072564	5.91272972255269	5.41047904834962
ENSG00000107859	PITX3	2.67886211609009	3.06715943130422	3.13317435516489	2.11613356984433	2.36262673551784	3.00536051972354
ENSG00000107984	DKK1	2.09779758125052	3.27931571796739	2.07190987441387	1.94745160487324	2.30368804516678	2.05585854267629
ENSG00000108684	ASIC2	2.05688304744277	2.15617907949413	5.24404426134365	2.14411869565979	2.02521768076285	2.3916311558648
ENSG00000108947	EFNB3	2.61361487413194	2.45339538104032	3.25022547289504	3.09660480573162	2.55544218138239	3.34061937694961
ENSG00000109047	RCVRN	2.30858142623035	2.20455489021211	1.99346033241789	4.53917354836751	1.98682879036262	2.45148172471886
ENSG00000109705	NKX3-2	2.27460990781641	2.5122335132902	2.51384861915229	6.78906017645481	2.87195286897293	3.56150273213494
ENSG00000110060	PUS3	6.29681411839078	6.43045797100476	6.85990046222315	6.69134047117604	6.3244431216106	5.91641368779223
ENSG00000111012	CYP27B1	3.86000685163852	3.72544684650015	3.64967628733048	3.30039190898702	3.54833097400305	3.69558630458777
ENSG00000111605	CPSF6	7.26920541349277	6.91871557699158	6.90399041144873	7.00849333047975	6.53281609698063	6.72337497720921
ENSG00000111907	TPD52L1	4.4653162073935	3.35834157037676	3.58764696866861	2.88974361924697	3.47876084647921	3.30738457833977
ENSG00000113296	THBS4	7.18489985111269	6.82464066869142	7.12563417172979	6.35523028306964	6.62720088688691	8.3307838610624
ENSG00000114491	UMPS	3.70423591942828	3.82215017676513	3.68864084468687	3.54568949548699	3.75741764227777	3.46665528776304
ENSG00000115009	CCL20	2.28381527337685	3.20263154184259	2.09510555745352	1.803337172131	2.18070398938571	1.93006911137974
ENSG00000115226	FNDC4	4.00422201270803	4.09945775990053	4.14120150833626	3.63567819043932	4.22589264667226	4.87423642439479
ENSG00000115255	REEP6	2.77928383570513	2.62712619464734	2.79120730412584	2.75305560953541	2.82736278073908	2.57607028677139
ENSG00000116183	PAPPA2	3.50842418207917	3.17084566609397	2.56830590840665	2.69808685856382	2.38757501550107	2.27097759163586
ENSG00000116774	OLFML3	5.38358743874485	5.04983137408728	4.95363004006469	4.64885696234637	6.09186276047237	6.39557748122015
ENSG00000117091	CD48	3.08829512792034	3.51630254948382	2.34375425196242	2.76872554527901	3.31197826761941	2.47732056461434
